Flags,Block,Column,Row,Name,ID,RefNumber,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,1_3,1_4,1_5,1_6,1_7,1_8
0,1,74,1,NA,NA,3772,0,0,0,-1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,-1,1,0,0
0,1,75,1,222801142_EZ029530.1_559-756,CUST_1381_PI426227498,3608,1,2,0,0,1,0,0,1,1,0,2,0,1,-1,0,4,1,2,0,-1,-1,-1
0,1,76,1,222801625_EZ030013.1_64-285,CUST_23_PI426247730,3444,1,1,0,0,1,0,1,0,1,0,2,0,-1,1,4,0,2,2,1,0,0,1
0,1,77,1,222785152_EZ013786.1_1742-1855,CUST_856_PI426227498,3280,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,3,2,-1,1,0,0
0,1,78,1,AY532062_423_457,CUST_159_PI426266615,3116,0,1,1,1,-1,1,0,0,0,0,2,2,0,0,0,1,2,3,0,1,1,0
0,1,79,1,222783902_EZ012562.1_1148-1330,CUST_716_PI426227498,2952,0,0,3,0,1,0,2,0,0,1,2,1,0,0,1,0,2,0,-1,0,0,1
0,1,80,1,168989246_DQ483007.1_736-840,CUST_36_PI426267032,2788,1,1,1,0,-1,0,0,0,0,0,2,1,0,1,0,3,0,0,0,0,1,1
0,1,81,1,NA,NA,2624,0,1,0,0,0,0,0,1,0,1,1,-1,0,0,0,-1,1,0,0,1,0,0
0,1,82,1,AY149128.1,CUST_101_PI426232937,2460,2,18,912,15,1537,993,1601,39,0,4,1,105,301,231,574,4,8,3,421,1,54,0
0,1,83,1,62767032_AY916504.1_689-829,CUST_13_PI426232934,2296,0,0,0,0,-1,0,1,0,-1,0,1,0,0,1,0,8,0,1,0,-1,1,1
0,1,84,1,NA,NA,2132,1,0,0,1,0,0,0,-1,-1,1,1,0,0,0,0,0,2,0,0,-1,0,2
0,1,85,1,222785609_EZ014121.1_86-853,CUST_33_PI426226825,1968,1,7,6,1,11,1,1,3,3,3,3,2,1,2,1,2,6,19,2,0,1,1
0,1,86,1,222781748_EZ010419.1_2118-2279,CUST_108_PI426226868,1804,0,2,1,0,0,-1,1,1,1,0,1,1,-1,0,2,1,2,0,1,0,0,0
0,1,87,1,222783413_EZ012078.1_94-459,CUST_91_PI426227893,1640,1,2,1,0,1,-1,1,0,2,1,1,0,0,0,1,3,4,2,1,0,-1,0
0,1,88,1,DT608217_233_270,CUST_229_PI426266615,1476,1,1,1,0,0,0,1,0,1,1,1,-1,1,0,4,2,0,0,1,0,-1,0
0,1,89,1,NA,NA,1312,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
0,1,90,1,222779661_EZ008332.1_920-1054,CUST_380_PI426227498,1148,0,1,0,0,0,0,1,-1,2,0,1,1,3,1,2,2,1,1,0,0,0,0
0,1,91,1,222782614_EZ011285.1_56-748,CUST_106_PI426226915,984,-1,0,0,0,0,0,1,1,1,0,3,1,1,0,1,1,1,1,0,0,-2,0
0,1,92,1,DQ309521_129_163,CUST_203_PI426266615,820,0,0,1,0,0,0,1,2,2,0,0,1,1,2,2,7,0,1,1,0,0,0
0,1,93,1,222796367_EZ024755.1_70-367,CUST_1225_PI426227498,656,0,0,1,0,0,0,0,0,0,0,4,0,2,0,3,1,1,0,0,0,0,0
0,1,94,1,DarkCorner,DarkCorner,492,0,1,1,1,0,0,0,0,1,0,4,1,1,1,1,2,1,2,0,0,-1,0
0,1,95,1,DarkCorner,DarkCorner,328,0,0,1,-1,0,0,0,0,3,0,1,3,34,3,1,2,4,5,3,1,-1,0
0,1,96,1,GE_BrightCorner,GE_BrightCorner,164,134,50,152,111,168,157,158,185,100,102,70,94,85,102,137,94,343,276,149,121,8,61
0,1,1,2,GE_BrightCorner,GE_BrightCorner,15662,118,38,139,85,166,161,123,186,65,60,52,64,24,94,68,98,287,291,208,82,9,113
0,1,2,2,DarkCorner,DarkCorner,15498,0,1,1,-3,-2,0,1,2,0,-1,-1,1,-1,-1,1,4,2,1,0,-1,-1,1
0,1,3,2,DarkCorner,DarkCorner,15334,1,-2,1,0,1,0,0,1,-1,-1,0,4,1,2,36,30,1,2,0,-1,1,1
0,1,4,2,AY160086.1,CUST_210_PI426232937,15170,1,-1,0,-2,2,1,0,3,-1,1,2,2,1,1,130,46,1,1,1,0,-1,1
0,1,5,2,220172162_FJ529539.1_302-931,CUST_150_PI426232940,15006,144,1145,1028,1352,467,712,735,550,981,1203,494,240,123,315,513,1482,1,443,381,169,9,915
0,1,6,2,222545588_EZ001778.1_219-500,CUST_83_PI426227498,14842,0,-6,-1,0,1,5,0,3,1,4,1,1,1,25,80,35,1,1,-2,2,-1,1
0,1,7,2,222785194_EZ013828.1_56-1212,CUST_303_PI426227486,14678,-1,-1,0,-1,2,0,0,44,1,4,0,-2,0,16,20,5,2,1,-2,3,1,-1
0,1,8,2,288956837_GQ502110.1_1-414,CUST_327_PI426232940,14514,48,443,428,510,362,378,668,344,437,421,155,86,109,189,222,678,373,105,178,65,12,246
0,1,9,2,222783284_EZ011951.1_3358-3636,CUST_90_PI426227893,14350,0,1,0,1,1,0,-1,-1,0,2,2,-1,0,1,0,18,0,0,1,-4,-1,0
0,1,10,2,222781256_EZ009927.1_22-1405,CUST_415_PI426227498,14186,1,0,0,0,0,0,-2,2,-1,3,0,1,0,1,0,9,1,-3,1,-1,-1,0
0,1,11,2,NA,NA,14022,1,1,1,0,0,0,7,1,-1,4,1,0,0,1,1,0,1,-1,1,1,-1,0
0,1,12,2,NA,NA,13858,0,1,1,2,-1,0,0,2,0,3,2,1,0,0,1,1,-2,-3,0,1,1,-2
0,1,13,2,222799676_EZ028064.1_356-898,CUST_148_PI426266317,13694,0,1,2,1,1,5,1,1,0,2,1,2,3,2,0,127,0,3,-1,-2,1,1
0,1,14,2,CX_sal(19c4)_13_47,CUST_182_PI426266615,13530,0,-1,2,3,1,0,1,1,-5,2,-2,1,1,1,2,51,0,2,-1,1,-1,2
0,1,15,2,168989246_DQ483007.1_370-717,CUST_26_PI426267032,13366,1,-2,7,13,4,8,3,17,3,3,-1,2,1,0,3,64,16,16,1,0,-1,1
0,1,16,2,FN646414.1,CUST_269_PI426232937,13202,-2,-10,54,1,138,67,105,1,0,0,0,16,12,24,44,16,11,1,35,1,0,-3
0,1,17,2,222785250_EZ013884.1_159-338,CUST_309_PI426227486,13038,-2,-1,1,2,1,0,0,1,2,0,1,1,0,1,1,4,1,2,-1,1,1,-1
0,1,18,2,222795156_EZ023544.1_152-325,CUST_231_PI426246026,12874,-1,0,-1,0,1,-1,1,1,0,0,1,-1,1,0,1,0,0,1,-1,1,1,-4
0,1,19,2,NA,NA,12710,0,-1,-1,0,0,0,0,0,1,0,1,-3,1,0,0,0,1,1,-2,0,0,-1
0,1,20,2,NA,NA,12546,0,2,-2,0,0,0,-1,0,-1,-1,2,-3,0,0,0,0,1,-1,0,2,0,-2
0,1,21,2,119654707_EF036595.2_367-1338,CUST_132_PI426232940,12382,37,346,252,632,214,98,391,416,253,567,84,47,35,56,106,298,609,179,98,58,6,399
0,1,22,2,222785316_EZ013950.1_215-577,CUST_898_PI426227498,12218,-1,2,1,2,0,0,1,11,0,0,1,2,0,-2,-5,1,1,2,0,4,1,0
0,1,23,2,222791528_EZ019916.1_14-814,CUST_17_PI426247733,12054,1,0,0,1,-1,0,-1,2,0,1,0,1,-1,1,-1,1,0,2,0,0,1,0
0,1,24,2,222784299_EZ012957.1_82-228,CUST_21_PI426266278,11890,1,1,2,0,0,-2,-1,6,1,0,-1,2,0,0,1,4,1,1,0,0,1,2
0,1,25,2,222787573_EZ016045.1_67-1454,CUST_1037_PI426227498,11726,1,2,1,1,-1,-1,0,1,0,1,0,1,2,2,2,1,1,1,0,0,0,1
0,1,26,2,42760796_AB117374.1_389-523,CUST_30_PI426246026,11562,0,1,2,0,-1,-1,-1,-1,-1,-2,1,1,0,1,2,1,2,0,0,0,0,-1
0,1,27,2,222799455_EZ027843.1_48-1009,CUST_144_PI426266274,11398,0,0,2,1,0,1,1,0,0,-1,3,0,1,1,1,2,2,1,0,-11,0,0
0,1,28,2,222546763_EZ002953.1_774-1532,CUST_89_PI426264540,11234,0,1,0,1,0,0,1,0,0,-1,1,-2,1,1,1,0,1,2,0,0,0,0
0,1,29,2,222792472_EZ020860.1_219-899,CUST_160_PI426227893,11070,0,1,1,1,0,0,1,0,0,0,-1,1,0,1,1,0,0,2,1,0,1,0
0,1,30,2,ETG02_36680,ETG02_36680,10906,2,1,0,1,-1,0,1,2,1,0,0,-1,1,1,1,-1,-1,1,1,1,0,1
0,1,31,2,222547206_EZ003119.1_23-241,CUST_14_PI426247733,10742,2,0,0,-2,-1,1,2,1,-2,1,0,2,1,3,0,5,1,0,-1,-1,0,2
0,1,32,2,222546707_EZ002897.1_1363-1731,CUST_42_PI426266349,10578,-1,1,-2,-1,0,0,1,1,0,1,0,3,0,2,0,0,2,1,1,2,1,1
0,1,33,2,222788924_EZ017356.1_815-949,CUST_1078_PI426227498,10414,1,2,-1,-1,0,0,0,0,1,0,2,0,-1,0,1,1,1,0,-2,-2,1,0
0,1,34,2,222782973_EZ011643.1_57-401,CUST_4_PI426266366,10250,1,0,0,-1,0,1,-1,0,-2,-1,0,0,-3,1,2,1,-1,7,0,0,0,0
