gene_names,ApoE.2,ApoE.3,ApoE.4,ApoE.5,ApoE.6,WT.1,WT.2,WT.3,WT.5,WT.6,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Fgf18,40.56184121,81.82331885,65.66484461,61.9538657,68.32748224,14.64828471,12.22508726,20.26228237,15.09460243,25.73323885,39.29144542,1.857731778,0.313974982,5.916814673,3.28E-09,1.26E-06
Runx1,981.0895344,1276.255674,2432.413458,612.2499669,1408.457167,444.3313028,420.7467531,352.802093,373.0523172,265.5670249,796.9206516,1.853931726,0.313493555,5.913779397,3.34E-09,1.26E-06
Mroh1,3238.18699,3425.293417,3777.604704,3441.4765,3225.968195,2603.488469,2340.085453,2661.510384,2679.291931,2697.872761,3108.959009,0.398178796,0.067467055,5.90182564,3.60E-09,1.33E-06
Tlr13,374.3519929,489.9994152,916.493617,97.18253443,1291.844931,109.3738592,92.70691171,73.8977357,119.6786335,112.1969214,333.2431378,2.641923104,0.44816121,5.895028501,3.75E-09,1.35E-06
Cx3cr1,484.2069795,288.7328608,407.1220366,145.7738016,380.8118344,138.6704286,99.83821261,81.04912948,97.0367299,87.49301209,219.3350853,1.759679372,0.299060302,5.884028612,4.00E-09,1.42E-06
Ncf4,184.2183622,155.1821564,206.3752259,70.45733746,274.2209621,51.75727263,52.97537812,22.6460803,47.44017906,48.37848904,113.7102308,1.99474914,0.339207705,5.88061271,4.09E-09,1.42E-06
Npas2,207.8794362,844.5671302,646.3296848,895.2940984,721.5382125,173.8263119,99.83821261,237.1878936,199.4643892,91.6103303,457.2469675,2.048318938,0.35086354,5.837936129,5.29E-09,1.80E-06
Lilrb4,439.4199465,964.9508637,1334.872484,273.3258781,2205.611127,247.0677354,193.5638816,150.1792693,113.2095182,181.1620015,573.4207394,2.559270453,0.439558211,5.822369801,5.80E-09,1.93E-06
Tnfrsf11b,868.6994327,2721.800974,7397.61378,3147.499334,3932.929878,586.9079406,541.9788685,587.6061887,967.1327413,504.3714814,1810.405465,2.502781492,0.433416025,5.774547654,7.72E-09,2.52E-06
Ms4a6d,198.5840143,521.0358465,503.7431651,149.4181467,1299.133196,58.59313883,107.9882708,91.77622015,104.5840311,89.5516712,278.6388597,2.562661377,0.44689395,5.73438369,9.79E-09,3.14E-06
Slamf7,178.3030937,328.2337733,590.0455323,53.45039393,675.0755246,92.77246982,39.73153359,34.56506993,37.73650607,45.29050038,202.4292535,2.866062628,0.503674021,5.690312597,1.27E-08,4.00E-06
Irf8,490.122248,424.1645609,542.2040027,355.9310323,712.4278815,238.2787646,279.1394924,190.7038341,184.3697868,220.2765246,379.7872642,1.182137258,0.208239576,5.676813594,1.37E-08,4.25E-06
Ccr5,379.422223,490.9399131,493.4244038,104.4712245,798.9760257,140.6235332,117.1570862,61.97874607,79.78575569,66.90642101,248.0018791,2.280449108,0.402094315,5.671428376,1.42E-08,4.31E-06
Mefv,70.13818377,102.514273,167.9143884,6.073908402,172.1852553,8.788970825,4.075029086,14.30278756,3.234557663,9.263965986,58.83053204,3.716920746,0.65972387,5.634055268,1.76E-08,5.26E-06
Bcl2a1b,65.91299197,103.454771,148.214935,8.503471762,266.0216642,7.812418511,12.22508726,5.959494815,22.64190364,9.263965986,59.73810502,3.35498682,0.596393766,5.625455883,1.85E-08,5.43E-06
Scn1b,1451.7759,1454.950279,1878.014556,1471.100615,1907.703304,1069.324784,1080.901465,1094.163248,1177.378989,1055.062793,1366.793147,0.57625587,0.103159919,5.586044224,2.32E-08,6.71E-06
Rbmx,1855.704236,1825.506458,1753.251351,2069.987983,1908.614337,2665.011265,2471.505141,2427.898188,2507.860375,2550.678635,2170.974838,-0.424076826,0.076215673,-5.564168228,2.63E-08,7.48E-06
Adamts4,264.4970063,253.9344378,268.2877937,263.6076246,289.7085247,160.1545795,124.2883871,169.2496527,135.8514219,206.8952403,220.467934,0.751290208,0.135155447,5.55871202,2.72E-08,7.52E-06
Serpina3h,152.1069046,17.86946044,254.2167556,14.57738016,23.68686051,7.812418511,7.131300901,1.191898963,6.469115326,3.087988662,37.74836602,4.161167736,0.748711527,5.557771703,2.73E-08,7.52E-06
C5ar2,20.28092061,49.84638964,33.77049152,32.79910537,56.48405199,124.0221439,85.57561081,123.9574921,114.2877041,115.28491,64.80833816,-1.542664675,0.277927356,-5.550603935,2.85E-08,7.71E-06
Csf2rb,2743.83955,1976.926623,2570.309632,2349.38777,2426.992169,1644.514097,1446.635326,1284.867082,1179.535361,1243.430101,2043.69569,0.827609772,0.149194699,5.547179484,2.90E-08,7.74E-06
Mmp14,1907.251575,2674.776078,3505.564633,2044.477568,3649.598585,1467.758128,1197.039794,1307.513162,1619.435203,1210.491555,1995.363137,1.018800862,0.18520261,5.501007031,3.78E-08,9.92E-06
Sned1,3548.316068,4536.021458,2698.825114,2967.711645,3737.057762,2128.884044,2270.809958,1973.784683,1810.274105,1766.329515,2704.576654,0.813658788,0.148078857,5.494766805,3.91E-08,1.01E-05
Gpnmb,2153.157738,8075.115122,11602.97804,2514.598078,20411.69653,1380.844972,1807.2754,1255.069608,1480.349224,1853.822527,4505.463018,2.524775252,0.463506168,5.447123312,5.12E-08,1.30E-05
Gp49a,393.7878751,684.6824842,1411.794159,170.0694352,1804.756564,194.3339105,191.526367,96.543816,133.6950501,116.3142396,474.1181646,2.607630775,0.480574065,5.426074699,5.76E-08,1.45E-05
Ly9,125.9107154,130.7292106,256.092894,57.09473898,366.2353048,55.66348189,55.01289266,27.41367615,33.42376252,31.90921617,114.4251585,2.200793003,0.406991446,5.407467466,6.39E-08,1.58E-05
Dpep2,125.0656771,203.1475502,356.4662993,57.09473898,323.4167493,71.28831891,33.61898996,40.52456474,38.81469196,27.79189796,119.6657278,2.328515982,0.431535472,5.395885463,6.82E-08,1.66E-05
Tnfrsf1b,1535.434698,1983.510109,2925.837862,1714.056951,2876.131486,1152.33173,1253.071444,943.9839787,1126.704253,1030.358884,1662.798089,1.002857712,0.185969972,5.39257872,6.95E-08,1.67E-05
Ccl8,475.7565959,394.0686276,362.0947146,196.7946322,1556.044529,91.7959175,123.2696299,95.35191704,109.9749605,126.6075351,358.5751297,2.448275805,0.455847714,5.370819526,7.84E-08,1.84E-05
Lair1,271.2573131,273.6848941,523.4426185,86.2494993,685.0968886,82.03039436,113.0820571,65.55444296,80.86394158,74.11172789,206.0883957,2.146281998,0.399633476,5.370626151,7.85E-08,1.84E-05
Cdh11,1701.907254,2293.874422,2326.411638,1969.161104,2419.703905,1164.050358,1185.833464,1238.383023,1442.612718,923.3086099,1654.825953,0.847297891,0.158075795,5.360073576,8.32E-08,1.87E-05
Dtx4,2241.886765,1750.266625,1439.936235,1514.832755,2354.109522,1212.877974,1035.057388,926.1054942,847.4541078,1038.59352,1511.691595,0.878319936,0.163841821,5.360779868,8.29E-08,1.87E-05
Havcr2,65.06795361,123.2052272,202.6229491,27.93997865,240.5127375,32.22622636,23.43141725,25.02987822,21.56371775,19.55726153,72.68787286,2.437436829,0.454755446,5.359884862,8.33E-08,1.87E-05
Gpr35,184.2183622,209.7310357,248.5883403,57.09473898,366.2353048,56.6400342,59.08792175,63.17064504,46.36199317,61.75977324,133.5377241,1.894983192,0.354334165,5.348011506,8.89E-08,1.98E-05
Aqp5,20.28092061,15.9884646,55.34608332,26.72519697,31.88615838,0.976552314,1.018757272,2.383797926,5.390929439,5.14664777,14.20414203,3.340431858,0.626545967,5.331503244,9.74E-08,2.14E-05
Sae1,2034.007329,1604.489448,1646.311461,1694.620444,1860.329583,1179.675195,1274.465347,1079.86046,1271.181162,1117.851896,1545.292915,0.5777944,0.108702806,5.315358624,1.06E-07,2.31E-05
Clec7a,236.6107404,501.2853902,829.2531806,80.1755909,1542.379033,142.5766378,100.8569699,83.43292741,47.44017906,79.25837566,316.793824,2.81371151,0.529926431,5.309626663,1.10E-07,2.35E-05
