"","gene_names_ApoE_WT","ApoE.2","ApoE.3","ApoE.4","ApoE.5","ApoE.6","WT.1","WT.2","WT.3","WT.5","WT.6","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"4052","Cx3cr1",478.577634920741,286.385063121897,403.311990092414,144.430981764002,379.711511728745,137.92168179833,99.3451121383656,80.2917847651938,96.314675336039,87.0113016979642,219.330173736369,1.75678669039622,0.307658503292748,5.71018408915736,1.128540358287e-08,4.07725509443975e-06
"12840","Runx1",969.683480179722,1265.87795002089,2409.64974725721,606.610123408808,1404.3875529489,441.932149424225,418.668686868827,349.505416036726,370.276418514106,264.104892212644,850.069641687206,1.85157335633746,0.325951597655406,5.68051627804854,1.34288770167164e-08,4.75462819653862e-06
"6284","Gm11166",88.5326863902244,33.5826132651085,35.3130313905801,31.2933793822004,28.160423118639,7.77023559427209,9.1235307065846,5.90380770332307,6.42097835573593,6.14197423750335,25.2242660144171,2.61764705334939,0.463117458186831,5.6522314308725,1.58378145997576e-08,5.47228702691497e-06
"15218","Tnfsf8",60.9706236460979,35.448314002059,138.464254663064,24.0718302940003,87.2064715932046,6.79895614498808,2.02745126812991,3.54228462199384,8.56130447431458,13.3076108479239,38.0399101555776,3.33517992346545,0.590330064742381,5.64968671368774,1.60740510308749e-08,5.47228702691497e-06
"7239","Hgf",681.534642400218,1129.68179622351,2216.35736490877,666.789699143809,1446.17398725398,299.154070379476,456.17653532923,322.34790060144,310.347287193904,320.406322723092,784.896960615743,1.84578666722253,0.32859465110251,5.61721458651107,1.9406035708205e-08,6.48198207815762e-06
"2664","C5ar2",20.0451365411829,49.4410695291875,33.4544507910758,32.4969708969004,56.3208462372779,123.352490059069,85.1529532614563,122.79920022912,113.437284284668,114.650185766729,75.1150587596668,-1.54403827377521,0.276473312932974,-5.58476424865478,2.3401744439264e-08,7.66429620959421e-06
"9490","Mpeg1",1914.31053968297,3483.26327588653,5851.74101753902,714.933359731809,7483.40534359186,758.569249890813,605.194203536778,456.954716237206,333.890874498269,653.09659392119,2225.53591745164,2.79206415997567,0.500494401753338,5.57861216867656,2.42445115368737e-08,7.66429620959421e-06
"13420","Slc15a3",178.735800825547,328.363329703283,621.695210534159,90.2693636025012,648.598132474459,70.9033997977328,68.933343116417,54.3150308705723,47.0871746087302,64.4907294937852,217.339151502719,2.61076942766864,0.467779924496077,5.58119169068901,2.38876191917415e-08,7.66429620959421e-06
"1238","Adam8",328.23911086187,673.51796603912,1314.01648384948,197.389008410803,1908.54996684711,120.438651711217,148.003942573484,128.703007932443,123.068751818272,113.626523393812,505.555341343761,2.80261868398612,0.504102627311896,5.55961927619968,2.7036377451995e-08,8.25215500056323e-06
"893","9930013L23Rik",106.907394886309,289.183614227323,1309.37003235072,121.562742984702,1051.01966284727,54.3916491599047,43.5902022647931,61.39960011456,56.7186421423341,53.2304433916957,314.737398436961,3.41811121893016,0.615353331396539,5.55471311282704,2.78068073306423e-08,8.3434561046502e-06
"7858","Irf8",484.424133078586,420.715516182331,537.129793256718,352.652313807105,710.369383186312,236.992185625299,277.760823733798,188.921846506338,182.997883138474,219.063747804286,361.102762631925,1.180045898179,0.213699292368654,5.52199253960701,3.35176724569404e-08,9.72726812303631e-06
"9942","Ncf4",182.076656915745,153.920310798414,204.443865945464,69.8083078526009,273.428624474527,51.4778108120526,52.7137329713777,22.4344692726277,47.0871746087302,48.1121315271096,110.550308517865,1.99278809226369,0.361503964047313,5.51249305803705,3.53786149419927e-08,1.01017358115822e-05
"3537","Cldn15",550.40604085998,430.976870235559,488.806697669608,365.891820468805,548.674050440579,1191.75988427148,777.527561327821,932.801617125046,770.517402688312,1179.25905360064,723.662099868784,-1.02371393627241,0.185926489198683,-5.50601445057385,3.67048414021421e-08,1.03140604340019e-05
"1785","Aqp5",20.0451365411829,15.858456264079,54.8281276853743,26.4790133234003,31.7940261016892,0.971279449284012,1.01372563406496,2.36152308132923,5.35081529644661,5.11831186458613,16.3820415241437,3.33851751678796,0.610418125396463,5.46923064353572,4.51993255352466e-08,1.21236918174314e-05
"13630","Slc47a1",53.4536974431544,86.7550842681969,55.7574179851264,68.6047163379009,74.4888611525289,150.548314639022,117.592173551535,148.775954123741,119.858262640404,146.383719327163,102.221820146877,-1.01264394825493,0.185751019529065,-5.45161986632587,4.99130607019146e-08,1.31882225911342e-05
"10072","Neu2",10.8577822931407,21.4555584749304,26.020128393059,12.0359151470002,11.8092096949131,57.3054875077567,70.9607943845469,70.8456924398769,95.2445122767497,34.8045206791857,41.1339601291159,-1.99813664043383,0.369604624766965,-5.40614620743357,6.43952373116942e-08,1.62855555161275e-05
"4020","Ctss",1604.44613731718,4579.36245884493,4274.73537885969,696.879487011309,10446.6085762693,751.770293745825,548.425568029141,362.493792984037,535.081529644661,631.599684089928,2443.1402906796,2.93254063067149,0.545277931073114,5.37806586982204,7.52902726866617e-08,1.8511995796833e-05
"12882","Saa3",829.367524391442,159.517413009265,247.19121973406,18.0538727205002,682.208960067673,1.94255889856802,4.05490253625982,2.36152308132923,27.8242395415224,12.2839484750067,198.480616245563,5.32083291794249,0.998864502657585,5.32688157781747,9.99132573466223e-08,2.39022215514494e-05
"8453","Lilrb4",434.311291725629,957.104478055592,1322.38009654725,270.808090807504,2199.23820549113,245.733700668855,192.607870472342,148.775954123741,112.367121225379,180.164577633432,606.349138675085,2.55882618218552,0.481098023461655,5.31872104519146,1.04499208729015e-07,2.43414406859178e-05
"9017","Mefv",69.3227638715908,101.680690163801,166.342963655627,6.01795757350008,171.687740949121,8.7415150435561,4.05490253625982,14.1691384879754,3.21048917786797,9.21296135625503,55.4441122815554,3.71550156100654,0.698325435531324,5.32058746819037,1.03432704497549e-07,2.43414406859178e-05
"13399","Slc10a5",17.539494473535,4.66425184237618,9.29290299752107,12.0359151470002,28.160423118639,141.806799595466,66.9058918482871,80.2917847651938,39.5960331937049,82.9166522062953,48.3210149188018,-2.51614397602494,0.47461914145518,-5.30139591148906,1.14920563645683e-07,2.64212823145394e-05
"15986","Vcam1",5321.98375168406,9354.62349506966,15925.2478668519,5129.70703565147,12845.6949458282,2249.48320454177,3605.82208036905,2979.06136709682,3453.41619232664,2698.37401500981,6356.34139544293,1.69668566669721,0.320658403366882,5.29125589375539,1.21479253114581e-07,2.75711181780439e-05
"3014","Ccl8",470.225494695249,390.864304391124,358.706055704313,194.981825381403,1551.54847376243,91.3002682326971,122.66080172186,94.4609232531692,109.156632047511,125.910471868819,350.981525105857,2.44859334733877,0.470408183336468,5.20525244686777,1.93733054286366e-07,4.1321159759416e-05
"10256","Npas2",205.462649547125,837.699630890762,640.281016529202,887.046946333912,719.453390643937,172.887741972554,99.3451121383656,234.971546592258,197.980165968525,91.1059511896331,408.623415180627,2.04713236891635,0.393237482003937,5.20584243008621,1.93118466602716e-07,4.1321159759416e-05
"4062","Cxcl2",23.38599263138,16.7913066325542,32.5251604913237,13.2395066617002,39.0612320677895,3.88511779713605,1.01372563406496,5.90380770332307,2.14032611857865,4.0946494916689,14.2040825229519,2.89680981216849,0.557597742195578,5.19516058433471,2.04543201186591e-07,4.31074796500741e-05
"14895","Tlr13",369.999811989334,486.015041975598,907.916622857808,96.2873211760013,1288.11225749129,108.783298319809,92.249032699911,73.2072155212061,118.788099581115,111.579198647978,365.293790026005,2.6413320896265,0.510901953234333,5.16993930617254,2.34170035398327e-07,4.87707310194893e-05
"3050","Ccr5",375.01109612463,486.947892344073,488.806697669608,103.508870264201,796.667454033754,139.864240696898,116.57844791747,61.39960011456,79.1920663874099,66.5380542396197,271.451441979222,2.27909894384769,0.444685265265494,5.12519555260501,2.97229088007624e-07,6.08911166333539e-05
"12032","Pyhin1",223.837358043209,220.152686960156,210.019607743976,123.969926014102,258.894212542326,87.415150435561,113.537271015275,79.1110232245292,99.525164513907,104.413562037557,152.08759625306,1.10116187656139,0.214934828838533,5.12323611074043,3.00335874689678e-07,6.08911166333539e-05
"3013","Ccl7",156.185022216717,196.831427748275,160.767221857114,60.1795757350008,220.741381220299,67.9895614498808,30.4117690219487,24.7959923539569,17.1226089486292,38.8991701708546,97.3923730722676,2.14604031713963,0.420304425400118,5.10591891840457,3.2919083045125e-07,6.54793850727919e-05
"13391","Slamf7",176.2301587579,325.564778597857,584.523598544075,52.9580266468007,673.124952610048,92.2715476819811,39.5352997285333,34.2420846792738,37.4557070751263,45.0411444083579,206.094729872995,2.86521597786215,0.561877867972519,5.09935724679992,3.40808786166472e-07,6.7037088238945e-05
