"","gene_names_ApoE_DKO","ApoE.2","ApoE.3","ApoE.4","ApoE.5","ApoE.6","DKO.1","DKO.3","DKO.5","DKO.6","DKO.7","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"14902","Upk1b",11.3357542928661,3.87844332071064,1.92394850786068,1.25068609859608,1.86624243520316,108.771280066417,52.486980440386,17.2563494701037,44.5776913496255,4.14391367846696,24.7491289660236,-3.46603077096569,0.834312903559318,-4.15435354790634,3.2620846751427e-05,0.0227310569950053
"10728","Ppargc1a",1738.73031230577,871.680136329716,1055.28575656159,1684.67417480892,1524.72006956098,3778.79484082588,6860.65396256354,14024.0195099849,4158.14858654703,1156.15191629228,3685.28592657806,-2.1244851172302,0.51281058265866,-4.14282619952153,3.43051922161924e-05,0.0229087214853715
"2448","Cacna1s",14.8236786906711,3.87844332071064,12.5056653010945,7.50411659157648,7.46496974081264,68.4856207825586,23.2153951947861,37.7482644658518,40.923782222607,17.9569592733568,23.4506895584026,-2.02456066546362,0.489880998638411,-4.13276014193395,3.58432723235389e-05,0.0229784050211743
"3739","Cxcl14",744.671858931358,508.076075013094,436.736311284375,246.385161423428,908.860065943938,275.956766094428,246.285062066427,227.568108636992,157.118092461795,204.43307480437,395.60905766602,1.35730395628464,0.331291318809218,4.09701033266821,4.18520228553223e-05,0.0248430507519352
"4140","Dio2",3242.0257277597,3044.57800675785,3019.63718308734,3424.37853795607,3630.77465768775,5535.24958560209,11283.6914296745,17956.3101454848,10623.3753958935,3215.67701449036,6497.5697684394,-1.57112739666131,0.382739230915279,-4.10495520123224,4.04393239992624e-05,0.0248430507519352
"8498","Mfap3",1744.83418000193,2358.09353899207,2307.77623517889,2290.00624652942,2164.84122483566,1630.56205951415,1540.29100292364,1492.67422916397,1684.45210755552,1678.28503977912,1889.18158644744,0.436604716491135,0.107393836051851,4.06545415027673,4.79390185183159e-05,0.0274399517783232
"8918","Msln",23.5434896851834,10.6657191319543,0.961974253930342,1.25068609859608,1.86624243520316,157.114071207046,139.292371168717,70.1039197222962,86.9630372230399,6.90652279744493,49.8668033723411,-3.57414049310307,0.882148238424456,-4.05163252322149,5.08615044802866e-05,0.0281088735277777
"3054","Cep85",626.082429405989,767.931777500707,798.438630762184,765.419892340801,739.032004340451,1105.8413473419,946.784377943887,1080.67888556524,879.130535960647,1186.54061660104,889.588049776285,-0.490892444301339,0.12182830426546,-4.02937927488262,5.59243270778127e-05,0.0287993929511026
"7528","Kctd11",404.599230145375,595.341049729083,506.96043182129,561.55805826964,596.264458047409,254.806794970402,244.266332049489,335.42029282514,370.506385479674,384.002667537938,425.372570087544,0.746106912534681,0.185458557015894,4.02303848654846,5.74521037683405e-05,0.0287993929511026
"9868","Oxtr",61.0386769615867,58.1766498106596,46.1747641886564,48.7767578452471,47.5891820976806,83.5927430140054,114.058245956993,186.584278645496,89.155382699251,88.4034918072951,82.3550173026871,-1.09914936465975,0.273227545122084,-4.02283512143195,5.75017516962179e-05,0.0287993929511026
"7307","Irgm2",1737.85833120632,1357.45516224872,1212.08755995223,1569.61105373808,1367.02258378631,1126.99131846593,1038.63659371456,1007.3394003173,966.093573183687,838.451867609815,1222.1547444223,0.540657872116252,0.134667780385855,4.01475297630317,5.95080867103238e-05,0.0289010941123139
"14903","Upk3b",49.7029226687206,9.6961083017766,3.84789701572137,3.75205829578824,6.53184852321106,334.370972056022,254.359982134179,98.1454876112147,246.273475161046,2.76260911897797,100.944336088666,-3.66299204158757,0.91905109418146,-3.98562393840569,6.7303035310493e-05,0.0317254631447433
"13332","Sspo",162.18848449793,100.839526338477,108.703090694129,157.586448423106,142.767546293042,212.506852722351,312.903152625378,418.466474650014,258.696766192909,182.332201852546,205.699054428988,-1.04464672358948,0.262719216190034,-3.97628593271172,6.99999528777102e-05,0.0320539784220303
"343","2810021J22Rik",448.198285117937,417.902267806572,359.778370969948,413.977098635303,412.439578179898,593.206332954809,551.113294624053,516.611962261229,491.085386671284,556.665737474062,476.097831469509,-0.398497703901492,0.10082583340197,-3.95233731729021,7.73915419342261e-05,0.0344542845161067
"5020","Fam167a",63.6546202599404,86.2953638858118,314.565581035222,68.7877354227844,134.369455334627,31.22138594499,32.2996802710068,43.1408736752592,40.1930003972033,52.4895732605815,86.7017269487427,1.74802147166998,0.456766370800376,3.82694870598067,0.000129741537390529,0.049937947248273
"6396","Gpr88",207.531501669395,170.651506111268,552.173221756016,158.837134521702,249.143365099622,46.3285081764367,66.6180905589515,111.087749713792,54.0778550798735,146.418283305833,176.286721599289,1.6627436126617,0.434724372506322,3.82482261823845,0.00013086627468818,0.049937947248273
"7606","Kif4",74.9903745528065,56.2374281503043,80.8058373301488,63.7849910284001,65.3184852321106,40.285659283858,32.2996802710068,49.6120047265481,39.4622185717996,27.6260911897797,53.0422770336762,0.842499869857271,0.219831559783501,3.83247915216086,0.00012685835278273,0.049937947248273
"10034","Pcdhb13",163.060465597382,179.378003582867,213.558284372536,182.600170395028,134.369455334627,86.6141674602948,110.020785923117,95.9884439274518,109.617273810554,135.367846829921,141.057489723378,0.703172548157689,0.183210601453099,3.83805599992913,0.000124012204209185,0.049937947248273
"11395","Rarres1",192.707822978724,248.220372525481,723.404638955617,457.751112086166,370.449123387827,154.092646760757,147.367291236469,122.951489974489,152.733401509373,214.102206720793,278.378010613569,1.33349322030024,0.347728529137953,3.83486860743374,0.000125631435318497,0.049937947248273
