gene_names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Exp.1.Basal,Exp.1.TW.100,Exp.2.Basal,Exp.2.TW.100,Exp.4.Basal,Exp.4.TW.100
Rhbdl2,170.6200953,2.229811467,0.244936299,9.103638262,8.74E-20,9.43E-18,50.18053675,277.5278391,75.44312789,322.0379085,55.30052625,243.2306333
Racgap1,4629.117311,0.951910885,0.104591891,9.101192029,8.93E-20,9.58E-18,2879.969237,5694.105664,3563.744754,6796.079326,3027.703812,5813.101072
Dtl,1476.260368,1.22049521,0.134262908,9.090337962,9.87E-20,1.05E-17,1101.020012,2288.952177,596.0007104,1604.792259,998.8657554,2267.931293
Tnn,317.6243258,1.683183199,0.185245721,9.086219072,1.03E-19,1.08E-17,154.4773386,458.4864301,194.2660543,644.9753643,103.6884867,349.8522808
Adamts14,1396.331442,1.529985392,0.168445057,9.082993679,1.06E-19,1.10E-17,915.0568467,1955.744772,635.6083525,2285.749513,624.4351089,1961.394057
Spdl1,974.1432438,1.47747824,0.162665381,9.082929808,1.06E-19,1.10E-17,683.8328048,1537.27803,378.1586786,1264.763406,509.2256792,1471.600864
Gm12250,237.4042739,2.823816793,0.31121273,9.073590254,1.15E-19,1.19E-17,42.30908001,170.5186723,74.5000888,485.7555045,44.93167758,606.41062
Sohlh2,103.9721963,5.034559162,0.555035499,9.070697589,1.18E-19,1.22E-17,0.983932093,131.3689771,5.658234592,284.2569248,14.97722586,186.5878831
Adtrp,168.6971031,2.56133466,0.282712895,9.059843761,1.31E-19,1.33E-17,39.35728373,265.3479339,37.72156395,290.5537555,74.8861293,304.3159522
Abcb1b,3455.917332,1.551710152,0.171924838,9.025514714,1.79E-19,1.81E-17,2035.755501,4145.517722,1564.501865,5750.805445,1660.167882,5578.755576
Gm15987,140.7987008,3.793618756,0.421723288,8.9955164,2.35E-19,2.37E-17,14.7589814,139.1989161,27.34813386,222.1881659,10.36884867,430.9291586
Foxm1,2208.225111,1.098611307,0.122374259,8.977470569,2.77E-19,2.77E-17,1270.256332,2864.887693,1658.805775,3187.995385,1305.322838,2962.082644
Slfn9,1646.477113,1.472322055,0.164658797,8.941654408,3.83E-19,3.81E-17,1405.055029,3233.764821,264.9939867,1009.291993,1132.508694,2833.248153
Rasl12,2501.610585,-0.995834176,0.111418003,-8.937821081,3.97E-19,3.92E-17,5337.831606,2743.088641,2223.686195,1092.050338,2410.181269,1202.825461
Ticrr,648.4447692,1.281187889,0.143363213,8.936657186,4.01E-19,3.93E-17,374.8781275,934.3727247,347.0383883,835.6793771,412.4497583,986.2502392
Incenp,2140.011334,1.039299757,0.11632128,8.934734497,4.08E-19,3.98E-17,1282.063517,2777.018377,1678.609596,3241.068671,1254.630689,2606.677152
Il27ra,761.4433363,1.378705365,0.154512079,8.922961693,4.54E-19,4.38E-17,305.0189489,787.3438695,573.367772,1288.151634,398.6246267,1216.153167
Mcm10,1223.438378,1.249525381,0.140038725,8.9227132,4.55E-19,4.38E-17,654.314842,1531.188078,940.2099814,1961.012962,597.9369401,1655.967462
Adra1d,2117.495309,-1.294741907,0.145153175,-8.919831788,4.67E-19,4.46E-17,3895.387157,1960.094738,1903.052901,644.9753643,3085.308527,1216.153167
Ltc4s,262.2790993,1.799924553,0.201958976,8.912327587,5.00E-19,4.75E-17,133.8147647,504.596071,117.8798873,360.7184394,97.92801523,358.7374181
Ifit3,4989.355435,1.186541562,0.133210222,8.907286134,5.23E-19,4.93E-17,2304.368962,4684.913522,2959.256692,8273.135879,3811.127934,7903.32962
Ccnf,1887.835804,1.20465836,0.135339175,8.901032232,5.53E-19,5.19E-17,978.0285006,2246.322509,1582.419608,3142.118476,913.6107774,2464.514956
Birc5,2241.280008,1.057622584,0.119020547,8.886050415,6.33E-19,5.90E-17,1266.320604,2741.348655,1933.230152,3667.454059,1199.330163,2639.996417
Cdca7l,613.3447736,1.300534651,0.146377146,8.884820415,6.40E-19,5.93E-17,295.179628,717.7444114,428.1397508,1027.282937,339.8678176,871.8540966
Brip1,1504.707331,1.18738952,0.133861496,8.870284235,7.30E-19,6.72E-17,1218.107931,2414.231202,442.2853373,1125.333585,1139.42126,2688.864672
Birc2,5812.365416,1.952417192,0.220605251,8.850275237,8.73E-19,7.94E-17,3466.392764,7956.958044,1184.457108,7585.881795,2964.338626,11716.16416
Ccnb1,5696.663086,1.062951417,0.120102276,8.850385312,8.72E-19,7.94E-17,3425.067616,7146.994351,3735.37787,8863.238862,3875.645215,7133.654602
H19,1236.406734,-1.588815463,0.180135124,-8.82013142,1.14E-18,1.03E-16,1475.89814,691.6446146,2832.889452,852.7707745,1244.261841,320.9755846
Ifi203,396.4533765,1.666847985,0.189649262,8.789108715,1.51E-18,1.35E-16,237.1276345,615.955204,97.13302716,377.8098368,247.7002738,802.9942826
Id2,2270.372923,-1.040710003,0.11854996,-8.778661777,1.65E-18,1.48E-16,4010.507212,2133.22339,2707.465252,1268.361595,2399.81242,1102.867666
Asf1b,1314.120643,1.137709414,0.129631334,8.77650005,1.69E-18,1.50E-16,656.2827062,1592.957597,1107.127902,2234.475321,721.2110298,1572.6693
Mcm4,4793.915965,0.978346294,0.111557034,8.769920301,1.79E-18,1.58E-16,3514.605437,6390.970238,2790.452693,5955.902213,3403.286553,6708.278654
Gbp5,229.5248498,2.695976369,0.307534151,8.766429214,1.84E-18,1.62E-16,68.87524652,248.8180626,62.24058051,414.6912733,46.08377187,536.4401639
