gene_names,ApoE.2,ApoE.3,ApoE.4,ApoE.5,ApoE.6,DKO.1,DKO.3,DKO.5,DKO.6,DKO.7,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zfp574,704.7619911,718.5404092,685.7285916,691.2107761,638.6342007,855.7881557,760.9664069,1027.575141,851.3101064,989.0291301,793.4437633,-0.380982957,0.087712106,-4.343561834,1.40E-05,0.008998185
Akr1b7,5.91526851,10.3454771,1.876138418,6.073908402,3.644132386,1.953854237,1725.903191,1.0496171,111.5656817,4.020443618,127.1682807,-6.04986337,1.398292826,-4.326606886,1.51E-05,0.009372055
Cep85,606.7375415,744.8743509,778.5974433,743.4463884,721.5382125,1072.665976,919.8279506,1051.716334,854.8631536,1151.187023,898.9240257,-0.489189575,0.116008206,-4.216853209,2.48E-05,0.014416847
Fam117a,716.5925281,472.1299547,408.998175,710.647283,917.4103283,1535.72943,1557.235379,1618.509568,1451.064472,690.1761545,888.3541714,-1.087540491,0.258017311,-4.214990399,2.50E-05,0.014416847
Gm3435,87.8839893,65.83485425,66.60291382,77.74602754,34.61925767,32.23859491,25.49629714,30.43889591,31.9774247,41.54458406,47.19874371,1.04898233,0.249414813,4.205773983,2.60E-05,0.014416847
Gpr88,201.1191294,165.5276335,538.4517258,154.2772734,243.2458368,44.93864745,64.72136965,108.1105613,52.58509839,142.0556745,123.1756577,1.666685238,0.396773122,4.200600154,2.66E-05,0.014416847
Dalrd3,912.6414273,895.3540177,727.0036368,990.0470695,977.5385126,1202.597283,1050.251317,1199.712346,1174.637401,1376.331865,1008.76633,-0.414502341,0.099010499,-4.18644836,2.83E-05,0.014880345
Irgm2,1684.161449,1316.697085,1181.967203,1524.551009,1334.663486,1093.181445,1009.064991,980.3423716,939.4256767,813.4697588,1197.079689,0.541574775,0.129710586,4.175255032,2.98E-05,0.015171518
2810021J22Rik,434.3497163,405.3546026,350.8378841,402.0927362,402.6766287,575.4100727,535.4222399,502.766591,477.5295422,540.0795927,427.3205823,-0.397044671,0.095730696,-4.147516804,3.36E-05,0.015742235
Ppargc1a,1685.006487,845.5076281,1029.061922,1636.310923,1488.62808,3665.430548,6665.320448,13648.17115,4043.367701,1121.70377,3188.938096,-2.124345529,0.51162016,-4.152192767,3.29E-05,0.015742235
