gene_names,DKO.1,DKO.3,DKO.5,DKO.6,DKO.7,WT.1,WT.2,WT.3,WT.5,WT.6,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Per3,2213.71685,1939.679836,4919.555349,2472.920843,4648.972971,6357.355563,8299.815491,6669.866597,6992.035482,6101.865596,4468.645811,-1.088020948,0.266684951,-4.079798817,4.51E-05,0.00679256
Tstd3,362.4399609,481.4877652,427.1941598,485.346246,371.2209608,590.8141499,517.5286939,555.4249167,576.8294499,570.2485729,490.1505569,-0.397045692,0.097615925,-4.067427436,4.75E-05,0.007101566
Adamts4,233.4855813,257.9048518,230.915762,198.9706426,249.2675043,160.1545795,124.2883871,169.2496527,135.8514219,206.8952403,220.467934,0.552145306,0.136213906,4.053516446,5.05E-05,0.007226102
Pou2f2,98.66963896,71.58575735,166.8891189,107.3020251,54.94606279,31.24967404,37.69401905,35.75696889,60.37840971,22.64525019,79.19727762,1.415884266,0.348932039,4.057765149,4.95E-05,0.007226102
Relt,170.9622457,207.8928843,236.1638475,205.3661275,223.8046948,119.1393823,128.3634162,121.5736942,173.5879279,130.7248534,168.6486679,0.631304244,0.155687344,4.05494904,5.01E-05,0.007226102
Spp1,5193.344561,5782.756316,12190.253,2833.910438,8091.812856,255.8567062,906.6939717,3101.321102,1097.593234,1013.889611,9306.963733,2.418973633,0.598321888,4.042930204,5.28E-05,0.007498398
Ccl2,75.22338812,52.9538479,130.1525204,108.723244,128.6541958,46.87451107,49.91910631,29.79747407,25.87646131,51.4664777,110.3285602,1.274860902,0.316039725,4.033862841,5.49E-05,0.007730498
Slc35e1,3309.829077,3222.339707,3565.549289,3288.700478,3011.31227,2713.83888,2460.298811,2723.48913,2767.703174,2991.231684,3023.178064,0.264337825,0.065764829,4.01944061,5.83E-05,0.008152994
Stac2,39.07708474,30.3994312,59.82817471,27.71376807,75.04828088,19.53104628,10.18757272,15.49468652,3.234557663,8.234636432,55.42749973,2.024331493,0.504205402,4.014894496,5.95E-05,0.008245252
Cd72,85.96958642,79.43077185,209.92342,95.93227409,120.6133086,41.01519718,34.63774723,34.56506993,29.11101897,36.02653439,141.4735311,1.75307077,0.437663713,4.005520037,6.19E-05,0.008378133
Zfp949,647.7026795,733.5088561,575.1901709,740.4550341,779.966062,916.0060704,880.2062826,958.2867662,863.6268961,900.6633597,770.8088032,-0.378415975,0.094417042,-4.007920252,6.13E-05,0.008378133
