gene_names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Exp.1.Basal,Exp.1.TW.100,Exp.2.Basal,Exp.2.TW.100,Exp.4.Basal,Exp.4.TW.100
1500015O10Rik,920.3166576,-1.066031828,0.132251066,-8.060667181,7.59E-16,4.46E-14,849.1333964,408.026823,1847.413594,908.5427028,1033.428584,475.354845
Ttn,261.5022564,1.783624921,0.221337047,8.058411112,7.73E-16,4.53E-14,162.3487954,712.524452,66.01273691,203.2976741,108.2968639,316.533016
Cdc7,675.3440506,1.230401666,0.152817414,8.051449323,8.18E-16,4.78E-14,576.5842066,1176.230841,291.3990815,737.628729,360.6055149,909.6159301
Ska1,459.6391459,1.387392423,0.172361258,8.049328713,8.32E-16,4.84E-14,215.4811284,672.5047636,289.5130033,712.4414066,260.3733111,607.5212622
Dram1,2820.564652,1.49869956,0.186264614,8.046077722,8.55E-16,4.95E-14,1538.869794,2850.967801,1589.020881,5268.648129,1217.763672,4458.117635
Lig1,2314.476636,0.955393893,0.118812122,8.041215624,8.90E-16,5.13E-14,1404.071097,2818.778052,1959.635247,3474.051404,1385.969439,2844.354575
Wscd2,358.155997,-1.665430755,0.207206585,-8.037537787,9.17E-16,5.27E-14,916.0407788,370.6171142,359.2978966,106.1465732,317.9780259,78.85559345
Prc1,7442.806765,1.054807557,0.131446889,8.024591236,1.02E-15,5.83E-14,5741.243764,10506.0382,3739.150026,9527.104718,5177.51177,9965.792113
Pla2g4c,185.4823298,2.12679811,0.265261922,8.017728649,1.08E-15,6.15E-14,83.63422792,254.9080152,46.20891584,274.3619053,79.49450648,374.2864083
Aurka,2349.699082,0.986275816,0.123273266,8.000727548,1.24E-15,7.03E-14,1178.750648,2607.369698,2170.876005,3863.555355,1435.509494,2842.133291
Ltbp1,22282.31238,-0.80076261,0.100358945,-7.978985925,1.48E-15,8.35E-14,32377.26946,19171.17073,27005.81067,15726.78423,25452.06721,13960.77197
Depdc1a,1242.627986,1.024834034,0.128489098,7.976038847,1.51E-15,8.52E-14,1084.293167,2284.602211,374.3865222,800.5970351,1012.690887,1899.198096
Hist1h2ab,1634.098941,1.101083536,0.138081535,7.974154781,1.53E-15,8.62E-14,762.5473722,1933.994941,1228.779946,2587.997382,1154.398485,2136.875518
Hist1h2bh,1193.508794,1.279649855,0.160992543,7.948503894,1.89E-15,1.06E-13,469.3356085,1419.828945,1033.570852,2052.76678,642.8686177,1542.681962
Pmp2,226.4970321,-2.167329355,0.273253523,-7.931569664,2.16E-15,1.21E-13,513.6125526,173.9986452,203.6964453,42.27871983,370.9743636,54.4214659
Gbp7,1560.218613,1.198764517,0.151221248,7.927222746,2.24E-15,1.25E-13,1336.179783,2563.870037,336.6649582,978.7073868,1292.649801,2853.239712
Chtf18,1016.436332,1.07572903,0.135754837,7.924056726,2.30E-15,1.27E-13,645.4594531,1351.09948,707.279324,1359.215865,610.6099773,1424.953893
Pdgfra,16371.60094,1.437985753,0.181915368,7.904696409,2.69E-15,1.48E-13,7740.593777,13584.07423,9512.435388,31935.72578,8136.089924,27320.68652
Mis18bp1,946.1690018,1.168866646,0.147917992,7.902126249,2.74E-15,1.51E-13,867.8281062,1757.386316,246.1332048,662.9663089,686.6482009,1456.051873
Relb,2891.823679,0.951390995,0.120481648,7.896563596,2.87E-15,1.57E-13,1314.533277,2651.739353,2615.047421,4486.941586,2031.142245,4251.538193
Cep55,1567.833446,1.353218368,0.171549983,7.888187146,3.07E-15,1.67E-13,1176.782783,2624.769563,455.4878847,1636.276412,1131.3566,2382.327436
Neil3,556.3290509,1.482435671,0.187960521,7.886952324,3.10E-15,1.68E-13,407.3478866,867.3832463,240.4749702,789.8024684,248.8523681,784.1133658
Hspb7,2268.068911,-1.088158602,0.138341045,-7.865768285,3.67E-15,1.99E-13,3779.28317,2130.61341,3038.471976,1404.193227,2330.686763,925.1649203
Nek2,2169.272817,0.905535752,0.115147436,7.864141668,3.72E-15,2.00E-13,1382.424591,2673.489183,1834.211047,3248.265049,1327.21263,2550.034402
Tnfrsf9,74.93170828,3.405800225,0.433082051,7.864099229,3.72E-15,2.00E-13,5.903592559,77.42939711,24.51901657,159.2198598,10.36884867,172.149535
Aqp1,6017.329026,1.347516,0.171382463,7.862624792,3.76E-15,2.02E-13,2499.187517,5524.456985,5845.899373,11823.6488,2212.02105,8198.760434
H2-K1,12608.41406,0.968494884,0.123188304,7.861906126,3.78E-15,2.02E-13,8518.884063,14579.34648,10365.88577,19700.9839,6803.116823,15682.26732
Fignl1,1609.541813,1.285777712,0.163599858,7.859283791,3.86E-15,2.06E-13,1217.123999,2541.250213,572.4247329,1849.469106,1099.097959,2377.884867
Atrnl1,7994.770313,1.043372418,0.132835696,7.854608709,4.01E-15,2.13E-13,6076.764608,10623.48728,3821.194428,9617.958989,5959.783798,11869.43278
Hist1h2bn,1003.303632,1.409984735,0.179539938,7.853320847,4.05E-15,2.14E-13,428.0104605,847.3734021,559.2221855,1988.898927,602.5453173,1593.771501
Robo1,3089.111485,1.211069937,0.154316198,7.847976768,4.23E-15,2.23E-13,2394.890715,4160.307606,1342.887677,3602.686658,1919.389099,5114.507153
Rcan2,4284.930884,-1.014076858,0.129240823,-7.846412864,4.28E-15,2.25E-13,8685.168587,4758.862946,3459.067414,1856.665484,4922.898931,2026.921944
