Tank,Raceway,Tank.Raceway,Colony,Site,Color,Infect,Oil,Dispersant,Trt,Hyb Date,Chip,Array,chip # (array),chp_bl_hd_st_sp_tk_trt
7,C,C7,WW101,WW,1/2 white,H,O,C,HOC,20812,9,4,253295110010_4,M10_B4_020812_WW_WW101_C7_HOC
7,C,C7,WL103,WL,pink zip,H,O,C,HOC,20812,9,5,253295110010_5,M10_B5_020812_WL_WL103_C7_HOC
7,C,C7,WL102,WL,black zip,H,O,C,HOC,20812,9,6,253295110010_6,M10_B6_020812_WL_WL102_C7_HOC
7,C,C7,WL105,WL,neon yellow,H,O,C,HOC,20812,9,7,253295110010_7,M10_B7_020812_WL_WL105_C7_HOC
7,C,C7,WL104,WL,orange,H,O,C,HOC,20812,9,8,253295110010_8,M10_B8_020812_WL_WL104_C7_HOC
6,A,A6,WW102,WW,1/2 purple,H,O,C,HOC,21512,10,1,253295110011_1,M11_B1_021512_WW_WW102_A6_HOC
7,A,A7,WW103,WW,1/2 yellow,H,U,D,HUD,21512,10,2,253295110011_2,M11_B2_021512_WW_WW103_A7_HUD
5,A,A5,WW105,WW,1/2 red,H,O,D,HOD,21512,10,3,253295110011_3,M11_B3_021512_WW_WW105_A5_HOD
6,A,A6,EL104,EL,full blue,H,O,C,HOC,21512,10,4,253295110011_4,M11_B4_021512_EL_EL104_A6_HOC
1,C,C1,EL101,EL,full white,H,U,D,HUD,21512,10,5,253295110011_5,M11_B5_021512_EL_EL101_C1_HUD
3,B,B3,WL102,WL,black zip,B,O,C,BOC,21512,10,6,253295110011_6,M11_B6_021512_WL_WL102_B3_BOC
1,C,C1,EL103,EL,full yellow,H,U,D,HUD,21512,10,7,253295110011_7,M11_B7_021512_EL_EL103_C1_HUD
1,C,C1,EL102,EL,full purple,H,U,D,HUD,21512,10,8,253295110011_8,M11_B8_021512_EL_EL102_C1_HUD
1,B,B1,WW105,WW,1/2 red,B,U,D,BUD,101811,11,1,253295110019_1,M19_B1_101811_WW_WW105_B1_BUD
7,B,B7,EL101,EL,full white,H,O,D,HOD,101811,11,2,253295110019_2,M19_B2_101811_EL_EL101_B7_HOD
6,B,B6,WL103,WL,pink zip,H,U,D,HUD,101811,11,4,253295110019_4,M19_B4_101811_WL_WL103_B6_HUD
3,B,B3,EL103,EL,full yellow,B,O,C,BOC,101811,11,5,253295110019_5,M19_B5_101811_EL_EL103_B3_BOC
7,B,B7,WL101,WL,green zip,H,O,D,HOD,101811,11,6,253295110019_6,M19_B6_101811_WL_WL101_B7_HOD
4,B,B4,EL102,EL,full purple,B,U,C,BUC,101811,11,7,253295110019_7,M19_B7_101811_EL_EL102_B4_BUC
7,B,B7,WL103,WL,pink zip,H,O,D,HOD,100612,12,1,253295110020_1,M20_B1_100612_WL_WL103_B7_HOD
7,B,B7,WL104,WL,orange,H,O,D,HOD,100612,12,3,253295110020_3,M20_B3_100612_WL_WL104_B7_HOD
6,B,B6,WL102,WL,black zip,H,U,D,HUD,100612,12,5,253295110020_5,M20_B5_100612_WL_WL102_B6_HUD
7,B,B7,WL105,WL,neon yellow,H,O,D,HOD,100612,12,6,253295110020_6,M20_B6_100612_WL_WL105_B7_HOD
6,B,B6,WL101,WL,green zip,H,U,D,HUD,100612,12,7,253295110020_7,M20_B7_100612_WL_WL101_B6_HUD
6,C,C6,WW101,WW,1/2 white,B,O,C,BOC,120811,13,1,253295110030_1,M30_B1_120811_WW_WW101_C6_BOC
3,A,A3,WL101,WL,green zip,B,U,D,BUD,120811,13,2,253295110030_2,M30_B2_120811_WL_WL101_A3_BUD
6,C,C6,WL101,WL,green zip,B,O,C,BOC,120811,13,3,253295110030_3,M30_B3_120811_WL_WL101_C6_BOC
6,C,C6,WW102,WW,1/2 purple,B,O,C,BOC,120811,13,4,253295110030_4,M30_B4_120811_WW_WW102_C6_BOC
1,A,A1,WL101,WL,green zip,B,O,D,BOD,120811,13,5,253295110030_5,M30_B5_120811_WL_WL101_A1_BOD
1,A,A1,WW105,WW,1/2 red,B,O,D,BOD,120811,13,6,253295110030_6,M30_B6_120811_WW_WW105_A1_BOD
1,A,A1,WL103,WL,pink zip,B,O,D,BOD,120811,13,7,253295110030_7,M30_B7_120811_WL_WL103_A1_BOD
1,A,A1,WL102,WL,black zip,B,O,D,BOD,120811,13,8,253295110030_8,M30_B8_120811_WL_WL102_A1_BOD
1,A,A1,EL102,EL,full purple,B,O,D,BOD,60512,14,1,253295110031_1,M31_B1_060512_EL_EL102_A1_BOD
1,A,A1,EL101,EL,full white,B,O,D,BOD,60512,14,2,253295110031_2,M31_B2_060512_EL_EL101_A1_BOD
6,A,A6,WL101,WL,green zip,H,O,C,HOC,60512,14,3,253295110031_3,M31_B3_060512_WL_WL101_A6_HOC
4,B,B4,WW102,WW,1/2 purple,B,U,C,BUC,60512,14,4,253295110031_4,M31_B4_060512_WW_WW102_B4_BUC
6,A,A6,WW104,WW,1/2 blue,H,O,C,HOC,60512,14,5,253295110031_5,M31_B5_060512_WW_WW104_A6_HOC
6,A,A6,WL104,WL,orange,H,O,C,HOC,60512,14,6,253295110031_6,M31_B6_060512_WL_WL104_A6_HOC
6,A,A6,EL103,EL,full yellow,H,O,C,HOC,60512,14,7,253295110031_7,M31_B7_060512_EL_EL103_A6_HOC
7,A,A7,EL101,EL,full white,H,U,D,HUD,60512,14,8,253295110031_8,M31_B8_060512_EL_EL101_A7_HUD
2,A,A2,WW105,WW,1/2 red,B,O,C,BOC,80112,15,1,253295110032_1,M32_B1_080112_WW_WW105_A2_BOC
2,A,A2,WW104,WW,1/2 blue,B,O,C,BOC,80112,15,2,253295110032_2,M32_B2_080112_WW_WW104_A2_BOC
